,id,item_group_id,mpn,title,description,image_link,link,gender,age_group,brand,availability,price,product_type,google_product_category
15,22345932,1,1,Acne Studios - mock-neck maxi dress,mock-neck maxi dress,https://cdn-images.farfetch-contents.com/22/34/59/32/22345932_53542772_480.jpg,https://www.farfetch.com/ca/shopping/women/acne-studios-mock-neck-maxi-dress-item-22345932.aspx?storeid=11786,female,adult,Acne Studios,in_stock,1200.00 USD,Women Home &gt; Acne Studios &gt; Clothing &gt; Day Dresses,2271
16,22766173,1,1,Diesel - satin mini dress,satin mini dress,https://cdn-images.farfetch-contents.com/22/76/61/73/22766173_52825182_480.jpg,https://www.farfetch.com/ca/shopping/women/diesel-satin-mini-dress-item-22766173.aspx?storeid=13537,female,adult,Diesel,in_stock,610.00 USD,Women Home &gt; Diesel &gt; Clothing &gt; Cocktail & Party Dresses,2271
17,23620091,1,1,Balmain - polka dot-print mini dress,polka dot-print mini dress,https://cdn-images.farfetch-contents.com/23/62/00/91/23620091_53584901_480.jpg,https://www.farfetch.com/ca/shopping/women/balmain-polka-dot-print-mini-dress-item-23620091.aspx?storeid=9462,female,adult,Balmain,in_stock,4025.00 USD,Women Home &gt; Balmain &gt; Clothing &gt; Day Dresses,2271
18,22044376,1,1,TOM FORD - belt-detail maxi dress,belt-detail maxi dress,https://cdn-images.farfetch-contents.com/22/04/43/76/22044376_52843398_480.jpg,https://www.farfetch.com/ca/shopping/women/tom-ford-belt-detail-maxi-dress-item-22044376.aspx?storeid=9880,female,adult,TOM FORD,in_stock,7440.00 USD,Women Home &gt; TOM FORD &gt; Clothing &gt; Cocktail & Party Dresses,2271
19,22613237,1,1,Brunello Cucinelli - pinstriped cotton-blend midi dress,pinstriped cotton-blend midi dress,https://cdn-images.farfetch-contents.com/22/61/32/37/22613237_53010972_480.jpg,https://www.farfetch.com/ca/shopping/women/brunello-cucinelli-pinstriped-cotton-blend-midi-dress-item-22613237.aspx?storeid=9053,female,adult,Brunello Cucinelli,in_stock,5095.00 USD,Women Home &gt; Brunello Cucinelli &gt; Clothing &gt; Cocktail & Party Dresses,2271
20,23011697,1,1,PUCCI - Vivara-print silk maxidress,Vivara-print silk maxidress,https://cdn-images.farfetch-contents.com/23/01/16/97/23011697_53440777_480.jpg,https://www.farfetch.com/ca/shopping/women/pucci-vivara-print-silk-maxidress-item-23011697.aspx?storeid=13537,female,adult,PUCCI,in_stock,1835.00 USD,Women Home &gt; PUCCI &gt; Clothing &gt; Day Dresses,2271
21,23374208,1,1,Magda Butrym - strapless midi denim dress,strapless midi denim dress,https://cdn-images.farfetch-contents.com/23/37/42/08/23374208_53568372_480.jpg,https://www.farfetch.com/ca/shopping/women/magda-butrym-strapless-midi-denim-dress-item-23374208.aspx?storeid=10868,female,adult,Magda Butrym,in_stock,1555.00 USD,Women Home &gt; Magda Butrym &gt; Clothing &gt; Cocktail & Party Dresses,2271
22,23050682,1,1,Sportmax - Tonale maxi silk dress,Tonale maxi silk dress,https://cdn-images.farfetch-contents.com/23/05/06/82/23050682_53616792_480.jpg,https://www.farfetch.com/ca/shopping/women/sportmax-tonale-maxi-silk-dress-item-23050682.aspx?storeid=16031,female,adult,Sportmax,in_stock,920.00 USD,Women Home &gt; Sportmax &gt; Clothing &gt; Day Dresses,2271
23,23201522,1,1,Balmain - rose-print mini dress,rose-print mini dress,https://cdn-images.farfetch-contents.com/23/20/15/22/23201522_53396003_480.jpg,https://www.farfetch.com/ca/shopping/women/balmain-rose-print-mini-dress-item-23201522.aspx?storeid=9183,female,adult,Balmain,in_stock,4334.00 USD,Women Home &gt; Balmain &gt; Clothing &gt; Day Dresses,2271
24,22997880,1,1,Alexander McQueen - metallic-threading flared dress,metallic-threading flared dress,https://cdn-images.farfetch-contents.com/22/99/78/80/22997880_53325722_480.jpg,https://www.farfetch.com/ca/shopping/women/alexander-mcqueen-metallic-threading-flared-dress-item-22997880.aspx?storeid=16042,female,adult,Alexander McQueen,in_stock,2390.00 USD,Women Home &gt; Alexander McQueen &gt; Clothing &gt; Day Dresses,2271
25,22459800,1,1,Proenza Schouler - Faye dress,Faye dress,https://cdn-images.farfetch-contents.com/22/45/98/00/22459800_52525800_480.jpg,https://www.farfetch.com/ca/shopping/women/proenza-schouler-faye-dress-item-22459800.aspx?storeid=12416,female,adult,Proenza Schouler,in_stock,1560.00 USD,Women Home &gt; Proenza Schouler &gt; Clothing &gt; Cocktail & Party Dresses,2271
26,23078025,1,1,ISABEL MARANT - Poros crochet maxi dress,Poros crochet maxi dress,https://cdn-images.farfetch-contents.com/23/07/80/25/23078025_53689508_480.jpg,https://www.farfetch.com/ca/shopping/women/isabel-marant-poros-crochet-maxi-dress-item-23078025.aspx?storeid=9658,female,adult,ISABEL MARANT,in_stock,1343.00 USD,Women Home &gt; ISABEL MARANT &gt; Clothing &gt; Day Dresses,2271
27,21329447,1,1,Alaïa - ribbed flared minidress,ribbed flared minidress,https://cdn-images.farfetch-contents.com/21/32/94/47/21329447_53204819_480.jpg,https://www.farfetch.com/ca/shopping/women/alaia-ribbed-flared-minidress-item-21329447.aspx?storeid=16010,female,adult,Alaïa,in_stock,7130.00 USD,Women Home &gt; Alaïa &gt; Clothing &gt; Cocktail & Party Dresses,2271
28,22755805,1,1,Balmain - cut-out asymmetric gown,cut-out asymmetric gown,https://cdn-images.farfetch-contents.com/22/75/58/05/22755805_52756023_480.jpg,https://www.farfetch.com/ca/shopping/women/balmain-cut-out-asymmetric-gown-item-22755805.aspx?storeid=14221,female,adult,Balmain,in_stock,5090.00 USD,Women Home &gt; Balmain &gt; Clothing &gt; Evening Dresses,2271
29,23510623,1,1,Magda Butrym - rose-print draped mini dress,rose-print draped mini dress,https://cdn-images.farfetch-contents.com/23/51/06/23/23510623_53624244_480.jpg,https://www.farfetch.com/ca/shopping/women/magda-butrym-rose-print-draped-mini-dress-item-23510623.aspx?storeid=9921,female,adult,Magda Butrym,in_stock,3735.00 USD,Women Home &gt; Magda Butrym &gt; Clothing &gt; Day Dresses,2271
30,22983419,1,1,Saint Laurent - Saharienne muslin mini dress,Saharienne muslin mini dress,https://cdn-images.farfetch-contents.com/22/98/34/19/22983419_53225835_480.jpg,https://www.farfetch.com/ca/shopping/women/saint-laurent-saharienne-muslin-mini-dress-item-22983419.aspx?storeid=9140,female,adult,Saint Laurent,in_stock,6570.00 USD,Women Home &gt; Saint Laurent &gt; Clothing &gt; Day Dresses,2271
31,22524020,1,1,Valentino Garavani - embroidered cut-out minidress,embroidered cut-out minidress,https://cdn-images.farfetch-contents.com/22/52/40/20/22524020_53358422_480.jpg,https://www.farfetch.com/ca/shopping/women/valentino-garavani-embroidered-cut-out-minidress-item-22524020.aspx?storeid=12513,female,adult,Valentino Garavani,in_stock,8690.00 USD,Women Home &gt; Valentino Garavani &gt; Clothing &gt; Day Dresses,2271
32,20936269,1,1,Johanna Ortiz - River Classing maxi dress,River Classing maxi dress,https://cdn-images.farfetch-contents.com/20/93/62/69/20936269_52597507_480.jpg,https://www.farfetch.com/ca/shopping/women/johanna-ortiz-river-classing-maxi-dress-item-20936269.aspx?storeid=13537,female,adult,Johanna Ortiz,in_stock,1665.00 USD,Women Home &gt; Johanna Ortiz &gt; Clothing &gt; Cocktail & Party Dresses,2271
33,22564614,1,1,Jacquemus - La Robe T-shirt Bahia minidress,La Robe T-shirt Bahia minidress,https://cdn-images.farfetch-contents.com/22/56/46/14/22564614_52549151_480.jpg,https://www.farfetch.com/ca/shopping/women/jacquemus-la-robe-t-shirt-bahia-minidress-item-22564614.aspx?storeid=9446,female,adult,Jacquemus,in_stock,501.00 USD,Women Home &gt; Jacquemus &gt; Clothing &gt; Day Dresses,2271
